STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
11206500,MF KAWEAH R NR POTWISHA CAMP(RIVER ONLY) CA,Non-ref,WestMnts,266.0436,18,36.513001,-118.791765,CA,,yes,52,52,14
11208000,MARBLE F KAWEAH R (R ONLY) A POTWISHA CAMP CA,Non-ref,WestMnts,134.154,18,36.52189,-118.799265,CA,,yes,58,58,19
11208600,KAWEAH R BL CONDUIT NO. 2 NR HAMMOND CA,Non-ref,WestMnts,427.9842,18,36.48439,-118.83593,CA,,yes,16,16,16
11208730,EF KAWEAH R NR THREE RIVERS CA,Non-ref,WestMnts,222.8454,18,36.451612,-118.789264,CA,,yes,40,40,16
11200800,DEER C NR FOUNTAIN SPRINGS CA,Non-ref,WestMnts,214.65,18,35.941617,-118.82287,CA,,yes,41,41,20
11203220,TULE R A HWY 190 NR SPRINGVILLE CA,Non-ref,WestXeric,641.0304,18,36.100505,-118.86954,CA,,,22,22,1
11204500,SF TULE R NR SUCCESS CA,Non-ref,WestXeric,284.8554,18,36.04245,-118.857595,CA,,,58,39,1
11204900,TULE R BL SUCCESS DAM CA,Non-ref,WestXeric,1015.851,18,36.05634,-118.923709,CA,,,30,30,1
11209900,KAWEAH R A THREE RIVERS CA,Non-ref,WestMnts,1085.507,18,36.443836,-118.903433,CA,,,32,32,1
11210100,SF KAWEAH R A THREE RIVERS CA,Non-ref,WestXeric,230.6493,18,36.416614,-118.914267,CA,,,32,32,1
11210950,KAWEAH R BL TERMINUS DAM CA,Non-ref,WestMnts,1453.3,18,36.414116,-119.012603,CA,,,29,29,1
11211300,DRY C NR LEMONCOVE CA,Non-ref,WestXeric,197.307,18,36.447449,-119.028159,CA,,,35,35,5
11216200,NF KINGS R BL BALCH DIV DAM CA,Non-ref,WestMnts,618.2262,18,36.902724,-119.050946,CA,,yes,26,26,20
11216400,DINKEY C SIPHON FISH RELEASE A BALCH CAMP CA,Non-ref,WestMnts,341.1387,18,36.908003,-119.125116,CA,,yes,23,23,20
11216500,NF KINGS R AB DINKEY C A BALCH CAMP CA,Non-ref,WestMnts,649.4076,18,36.90328,-119.121505,CA,,yes,60,49,20
11218400,NF KINGS R BL DINKEY C NR BALCH CAMP CA,Non-ref,WestMnts,1000.967,18,36.879669,-119.128727,CA,,yes,49,49,20
11218500,KINGS R BL NF NR TRIMMER CA,Non-ref,WestMnts,3474.557,18,36.87467,-119.141783,CA,,,31,31,4
11214600,HELMS C BL COURTRIGHT DAM CA,Non-ref,WestMnts,102.3435,18,37.076333,-118.968723,CA,,yes,50,50,20
11215000,NF KINGS R NR CLIFF CAMP CALIF,Non-ref,WestMnts,469.737,18,36.993834,-118.981223,CA,,yes,71,43,3
11246700,SAN JOAQUIN R NR AUBERRY CA,Non-ref,WestMnts,3785.374,18,37.132171,-119.531526,CA,,yes,23,23,20
11247000,SAN JOAQUIN R BL KERCKHOFF PH NR PRATHER CA,Non-ref,WestMnts,3837.586,18,37.079116,-119.560971,CA,,,42,32,0
11251000,SAN JOAQUIN R BL FRIANT CA,Non-ref,WestMnts,4344.809,18,36.984394,-119.724312,CA,,yes,101,60,20
11257500,FRESNO R NR KNOWLES CA,Non-ref,WestMnts,345.78,18,37.237169,-119.774876,CA,,,75,41,1
11258000,FRESNO R BL HIDDEN DAM NR DAULTON CA,Non-ref,WestXeric,697.7115,18,37.097447,-119.889601,CA,,,49,41,1
11258900,WF CHOWCHILLA R NR MARIPOSA CA,Non-ref,WestXeric,87.1956,18,37.420496,-119.87461,CA,,,23,23,0
11259000,CHOWCHILLA R BL BUCHANAN DAM NR RAYMOND CA,Non-ref,WestXeric,608.7639,18,37.215501,-119.991276,CA,,,58,37,1
